Loss_Adversary	Loss_Target	
-0.3088	0.1215	0.8079	
-0.3085	0.1015	0.7840	
-0.3087	0.1104	0.7946	
-0.3087	0.1051	0.7887	
-0.3087	0.1299	0.8175	
-0.3085	0.1069	0.7904	
-0.3086	0.1131	0.7977	
-0.3087	0.1239	0.8104	
-0.3086	0.1103	0.7945	
-0.3087	0.1061	0.7898	
-0.3089	0.1154	0.8010	
-0.3083	0.1017	0.7839	
-0.3086	0.1147	0.7995	
-0.3087	0.1141	0.7990	
-0.3086	0.1088	0.7927	
-0.3084	0.1059	0.7890	
-0.3088	0.1143	0.7997	
-0.3086	0.1069	0.7904	
-0.3087	0.1153	0.8005	
-0.3086	0.1092	0.7932	
-0.3086	0.1131	0.7978	
-0.3086	0.1063	0.7898	
-0.3089	0.1103	0.7952	
-0.3086	0.1036	0.7868	
-0.3087	0.1144	0.7994	
-0.3087	0.1178	0.8033	
-0.3086	0.1048	0.7880	
-0.3085	0.1043	0.7872	
-0.3088	0.1164	0.8020	
-0.3088	0.1083	0.7926	
-0.3085	0.1037	0.7866	
-0.3087	0.1075	0.7915	
-0.3084	0.1132	0.7974	
-0.3087	0.1095	0.7937	
-0.3087	0.1069	0.7908	
-0.3082	0.0984	0.7797	
-0.3087	0.1112	0.7957	
-0.3087	0.1111	0.7957	
-0.3089	0.1180	0.8041	
-0.3085	0.1036	0.7863	
-0.3087	0.1181	0.8037	
-0.3085	0.1083	0.7920	
-0.3086	0.1025	0.7853	
-0.3088	0.1178	0.8037	
-0.3085	0.1032	0.7860	
-0.3088	0.1282	0.8155	
-0.3084	0.0983	0.7800	
-0.3086	0.1100	0.7942	
-0.3088	0.1169	0.8025	
-0.3086	0.1098	0.7939	
-0.3088	0.1138	0.7990	
-0.3085	0.1076	0.7911	
-0.3084	0.1140	0.7984	
-0.3084	0.1065	0.7895	
-0.3088	0.1139	0.7990	
-0.3083	0.0983	0.7800	
-0.3086	0.1084	0.7922	
-0.3086	0.1107	0.7949	
-0.3085	0.1025	0.7852	
-0.3088	0.1218	0.8083	
-0.3084	0.1015	0.7839	
-0.3087	0.1105	0.7948	
-0.3086	0.1132	0.7979	
-0.3089	0.1121	0.7971	
-0.3086	0.1034	0.7864	
-0.3089	0.1121	0.7972	
-0.3089	0.1119	0.7969	
-0.3086	0.1045	0.7878	
-0.3088	0.1235	0.8102	
-0.3074	0.0850	0.7625	
-0.3085	0.1315	0.8187	
-0.3081	0.0970	0.7780	
-0.3086	0.1032	0.7862	
-0.3088	0.1096	0.7940	
-0.3087	0.1116	0.7962	
-0.3089	0.1171	0.8029	
-0.3087	0.1100	0.7944	
-0.3089	0.1147	0.8003	
-0.3085	0.0995	0.7817	
-0.3088	0.1104	0.7949	
-0.3083	0.0992	0.7809	
-0.3087	0.1105	0.7949	
-0.3088	0.1148	0.8001	
-0.3088	0.1154	0.8008	
-0.3088	0.1110	0.7957	
-0.3090	0.1173	0.8034	
-0.3087	0.1045	0.7880	
-0.3089	0.1197	0.8061	
-0.3085	0.1037	0.7867	
-0.3088	0.1165	0.8022	
-0.3081	0.0958	0.7764	
-0.3085	0.1046	0.7877	
-0.3089	0.1174	0.8033	
-0.3087	0.1089	0.7931	
-0.3084	0.1004	0.7826	
-0.3089	0.1155	0.8011	
-0.3085	0.1041	0.7871	
-0.3087	0.1127	0.7974	
-0.3083	0.1016	0.7838	
-0.3086	0.1046	0.7879	
-0.3088	0.1173	0.8031	
-0.3085	0.1018	0.7843	
-0.3089	0.1189	0.8050	
-0.3086	0.1029	0.7860	
-0.3090	0.1134	0.7989	
-0.3086	0.1015	0.7842	
-0.3089	0.1146	0.8000	
-0.3087	0.1095	0.7937	
-0.3086	0.1062	0.7897	
-0.3087	0.1106	0.7949	
-0.3087	0.1076	0.7915	
-0.3087	0.1079	0.7920	
-0.3090	0.1114	0.7965	
-0.3085	0.1016	0.7842	
-0.3087	0.1093	0.7935	
-0.3087	0.1100	0.7944	
-0.3084	0.0998	0.7819	
-0.3090	0.1135	0.7990	
-0.3084	0.0977	0.7795	
-0.3088	0.1210	0.8074	
-0.3081	0.0945	0.7751	
-0.3089	0.1187	0.8048	
-0.3085	0.0999	0.7822	
-0.3088	0.1071	0.7912	
-0.3088	0.1071	0.7912	
-0.3086	0.1045	0.7878	
-0.3088	0.1079	0.7921	
-0.3089	0.1180	0.8041	
-0.3084	0.0970	0.7786	
-0.3087	0.1055	0.7891	
-0.3088	0.1117	0.7964	
-0.3086	0.1063	0.7897	
-0.3088	0.1100	0.7945	
-0.3088	0.1112	0.7959	
-0.3087	0.1074	0.7912	
-0.3087	0.1176	0.8032	
-0.3087	0.1077	0.7917	
-0.3089	0.1078	0.7922	
-0.3086	0.1023	0.7852	
-0.3089	0.1118	0.7967	
0.7370	0.7992	
0.6923	0.7753	
0.6453	0.7525	
0.5978	0.7302	
0.5502	0.7080	
0.5025	0.6862	
0.4558	0.6646	
0.4111	0.6429	
0.3700	0.6212	
0.3338	0.5995	
0.3049	0.5778	
0.2834	0.5564	
0.2695	0.5352	
0.2615	0.5142	
0.2569	0.4936	
0.2537	0.4734	
0.2509	0.4538	
0.2484	0.4347	
0.2460	0.4166	
